Timestamp,How long did it take you from initial contact to first data collection?,"Was there a minimum lease duration? If so, for how long?",What type of entity owned the cable?,How did you initiate contact?,What did you pay for?,Anything else we should know?
3/3/2023 7:59:46,3-6 months,,Privately held company,Through a website form or publically-posted email address,"The dark fiber itself, Fiber splicing or other services, Internet connection",
3/3/2023 20:32:02,6-12 months,weeks to a month,Non-university non-profit,Through a website form or publically-posted email address,Colocation of equipment,
3/3/2023 20:49:05,1-2 years,more than one year,Publicaly held company,Through a contact passed along through your network,"The dark fiber itself, Fiber splicing or other services","General acceptance of using dark fiber for DAS is still low, but hopefully will improve over time with a stronger business case"
3/3/2023 23:35:01,2-3 months,weeks to a month,Privately held company,Direct contact with the company,shipping,
3/4/2023 1:48:00,2-3 months,No minimum,Privately held company,Through a contact passed along through your network,We just paid for sending the equipment. Anything else was free.,These answers refer to 3 fibers belonging to 3 different private companies
3/4/2023 3:29:01,3-6 months,No minimum,University,personal contacts,free,I think my case is not typical.
3/4/2023 10:24:13,2-3 months,No minimum,University,Through a website form or publically-posted email address,Fiber splicing or other services,
3/4/2023 10:44:50,2-3 months,weeks to a month,Privately held company,Through a website form or publically-posted email address,"The dark fiber itself, Fiber splicing or other services, Internet connection",
3/4/2023 13:06:53,1 month,No minimum,Government,Through a contact passed along through your network,We didn't pay for anything - gov. provided fiber/colo and we spliced.,"This was our first project, we used DOE fiber (ESnet) which is now unfortunately used for telco."
3/4/2023 13:07:41,3-6 months,6-12 months,Privately held company,Through a contact passed along through your network,"The dark fiber itself, Colocation of equipment",This contract was with Zayo and assisted by DOE contact.
3/4/2023 13:08:57,1 month,No minimum,University consortium,Through a contact passed along through your network,Fiber splicing or other services,This fiber was owned by a university consortium for inter-campus tests.
3/5/2023 12:45:07,6-12 months,No minimum,Privately held company,Through a website form or publically-posted email address,we did not have to pay,"We wanted to participate in the experiment. We have a short fiber   2.5 kms in the middle of the city, used to monitor urban traffic through the  communication fiber trunking used for communication purposes. We are located in the south of Spain(University of Granada, Spain). We have not contributed with registers as we could not register a single teleseism. We think that the fact of not having the fiber buried in the ground is the explanation to our failure in the experiment. Thank you for everything in any case. "
3/5/2023 15:56:18,3-6 months,No minimum,Privately held company,Through a contact passed along through your network,nothing,
3/5/2023 15:57:00,3-6 months,No minimum,Publicaly held company,Through a contact passed along through your network,nothing,
3/5/2023 15:59:01,3-6 months,No minimum,Publicaly held company,Through a contact passed along through your network,nothing,
3/5/2023 23:46:40,6-12 months,No minimum,Privately held company,Through a contact passed along through your network,The dark fiber itself,
3/6/2023 0:42:16,3-6 months,No minimum,Publicaly held company,Through a website form or publically-posted email address,Fiber splicing or other services,
3/6/2023 1:07:38,3-6 months,No minimum,University,Through a contact passed along through your network,Colocation of equipment,
3/6/2023 1:58:13,3-6 months,No minimum,Publicaly held company,Through a contact passed along through your network,Nothing,Working with NZ telecom company Chorus
3/7/2023 9:53:06,3-6 months,No minimum,University,Through a contact passed along through your network,Fiber splicing or other services,privicy and security issues are key for the process (good luck!)
3/8/2023 14:20:35,1 month,No minimum,Grenoble (France) area infrastructure network owned by the city area administration,contact through city area administration,nothing,Similar initiative at the scale of the region failed. The ownership of the fiber is shared between public administration and a private company. I am trying to get access for more than 2 years now.
3/8/2023 16:12:09,6-12 months,No minimum,Non-university non-profit,Through a contact passed along through your network,"Colocation of equipment, Fiber splicing or other services",
3/8/2023 16:13:36,3-6 months,No minimum,Privately held company,Through a contact passed along through your network,"Colocation of equipment, Fiber splicing or other services, hourly wages to contractor servicing the fibre",
3/8/2023 16:14:02,6-12 months,No minimum,University,Through a contact passed along through your network,"Colocation of equipment, Fiber splicing or other services",
3/15/2023 12:56:22,6-12 months,6-12 months,Privately held company,Through a contact passed along through your network,Network contact was also our collaborator; they paid for it,"Our fiber had been recently installed, and the owner (Vero) has been exceptionally helpful and willing to assist us; they also performed the OTDR prior to installing our IU"
3/21/2023 2:41:55,3-6 months,No minimum,University,Through a contact passed along through your network,"not a dime, but were able to get help by our own IT folks","worked very smoothly, but was actually our nevada system of higher education fiber, so we had to go through a couple of layers of universty and systems folks, but well worth it."
4/6/2023 9:44:05,3-6 months,No minimum,Several of them (several cables),Through a contact passed along through your network,"The dark fiber itself, not the first time, then a fee was asked for, but not in all countries",What will you do with these info?
4/6/2023 23:06:48,More than 2 years,No minimum,Privately held company,Through a contact passed along through your network,Internet connection,
4/6/2023 23:08:02,1-2 years,6-12 months,Publicly held company,Through a website form or publically-posted email address,"The dark fiber itself, Colocation of equipment, Fiber splicing or other services, Internet connection",
4/6/2023 23:12:08,2-3 months,No minimum,Government,Through a contact passed along through your network,nothing,
